"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,38249,"Open Water",0,0,255,0,0,1,8506,0.2
"2",13,4960,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,1103,0
"3",14,21871,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,4864,0.1
"4",15,2427,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,540,0
"5",16,30794,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,6848,0.2
"6",17,58474,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,13004,0.4
"7",22,36968,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,8221,0.2
"8",23,17965,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,3995,0.1
"9",24,6398,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,1423,0
"10",25,158016,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,35142,1
"11",31,8372,"Barren",191,191,191,0.74902,0.74902,0.74902,1862,0.1
"12",32,21226,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,4721,0.1
"13",63,24511,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,5451,0.2
"14",64,3860,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,858,0
"15",65,279798,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,62226,1.8
"16",68,14713,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,3272,0.1
"17",100,16791,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,3734,0.1
"18",101,137,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,30,0
"19",102,632,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,141,0
"20",103,4669,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,1038,0
"21",104,4474,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,995,0
"22",105,10487,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,2332,0.1
"23",106,21432,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,4766,0.1
"24",107,38606,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,8586,0.2
"25",108,125063,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,27813,0.8
"26",109,117911,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,26223,0.8
"27",110,204301,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,45435,1.3
"28",111,322262,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,71669,2.1
"29",112,496372,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,110390,3.2
"30",113,707178,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,157273,4.6
"31",114,931844,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,207237,6
"32",115,951681,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,211649,6.1
"33",116,829017,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,184369,5.3
"34",117,594335,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,132177,3.8
"35",118,1439361,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,320106,9.3
"36",119,235353,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,52341,1.5
"37",120,3773,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,839,0
"38",121,2465,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,548,0
"39",122,107,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,24,0
"40",123,18,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,4,0
"41",124,23,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,5,0
"42",138,407,"Tree Height = 38 meters",36,112,21,0.141176,0.439216,0.082353,91,0
"43",201,9863,"Shrub Height = 0.1 meter",212,178,125,0.831373,0.698039,0.490196,2193,0.1
"44",202,11258,"Shrub Height = 0.2 meter",212,174,121,0.831373,0.682353,0.47451,2504,0.1
"45",203,16998,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,3780,0.1
"46",204,56188,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,12496,0.4
"47",205,88712,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,19729,0.6
"48",206,229340,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,51004,1.5
"49",207,306876,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,68248,2
"50",208,475905,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,105839,3.1
"51",209,416487,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,92624,2.7
"52",210,305463,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,67933,2
"53",211,152478,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,33910,1
"54",212,93317,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,20753,0.6
"55",213,8,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,2,0
"56",214,3,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,1,0
"57",215,5,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,1,0
"58",216,3,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,1,0
"59",218,1,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,0,0
"60",220,93,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,21,0
"61",221,1,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,0,0
"62",301,36822,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,8189,0.2
"63",302,36390,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,8093,0.2
"64",303,4664767,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,1037419,30.1
"65",304,563263,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,125267,3.6
"66",305,75779,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,16853,0.5
"67",306,7508,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,1670,0
"68",307,1785,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,397,0
"69",308,159817,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,35542,1
