"","VALUE","Freq","LABEL","DESCRIPTION","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1,1080194,"A","Succession Class A",161,99,51,0.631373,0.388235,0.2,240229,7
"2",2,3210396,"B","Succession Class B",56,168,0,0.219608,0.658824,0,713975,20.7
"3",3,543611,"C","Succession Class C",201,222,171,0.788235,0.870588,0.670588,120896,3.5
"4",4,4865179,"D","Succession Class D",255,248,166,1,0.972549,0.65098,1081990,31.4
"5",5,1108826,"E","Succession Class E",0,74,77,0,0.290196,0.301961,246597,7.2
"6",6,2316036,"UN","Uncharacteristic Native Vegetation Cover/Structure/Composition",160,0,0,0.627451,0,0,515074,14.9
"7",7,684130,"UE","Uncharacteristic Exotic Vegetation",255,0,0,1,0,0,152147,4.4
"8",111,38249,"Water","Water",0,0,255,0,0,1,8506,0.2
"9",120,386997,"Developed","Developed",132,0,138,0.517647,0,0.541176,86066,2.5
"10",132,25306,"Barren or Sparse","Barren or Sparse",191,191,191,0.74902,0.74902,0.74902,5628,0.2
"11",180,1237507,"Agriculture","Agriculture",223,115,255,0.87451,0.45098,1,275215,8
